,period,state,stateDescription,electric-utilities,independent-power-producers,combined-heat-and-pwr-elect,elect-pwr-sector-gen-subtotal,combined-heat-and-pwr-comm,combined-heat-and-pwr-indust,indust-and-comm-gen-subtotal,total-net-generation,total-international-imports,total-supply,full-service-providers,energy-only-providers,facility-direct,total-elect-indust,direct-use,total-international-exports,estimated-losses,net-interstate-trade,unaccounted,total-disposition,net-trade-index,electric-utilities-units,independent-power-producers-units,combined-heat-and-pwr-elect-units,elect-pwr-sector-gen-subtotal-units,combined-heat-and-pwr-comm-units,combined-heat-and-pwr-indust-units,indust-and-comm-gen-subtotal-units,total-net-generation-units,total-international-imports-units,total-supply-units,full-service-providers-units,energy-only-providers-units,facility-direct-units,total-elect-indust-units,direct-use-units,total-international-exports-units,estimated-losses-units,net-interstate-trade-units,unaccounted-units,total-disposition-units,net-trade-index-units
0,2008,AK,Alaska,6262148,0,177106,6439254,225098,110483,335581,6774834,1230.0,6776064,6325944,0,0.0,6325944,328146.0,0.0,402966,0,-280991,6776064,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
1,2010,AK,Alaska,6205050,0,204196,6409246,234386,115944,350330,6759576,1057.0,6760633,6247038,0,,6247038,342426.0,0.0,385928,0,-214759,6760633,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
2,2006,AK,Alaska,6068520,0,187376,6255896,230541,187760,418301,6674197,1239.0,6675436,6182291,0,0.0,6182291,289065.0,0.0,400853,0,92003,6675436,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
3,2009,AK,Alaska,6166762,0,209379,6376141,216819,109199,326019,6702159,1208.0,6703367,6270171,0,,6270171,337332.0,0.0,399143,0,-303279,6703367,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
4,2005,AK,Alaska,5946148,0,173942,6120090,245324,211245,456569,6576659,1303.0,6577962,5912571,0,0.0,5912571,329542.0,0.0,395171,0,269890,6577962,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
5,2007,AK,Alaska,6146078,80133,210155,6436366,237621,147405,385025,6821392,1301.0,6822693,6326610,0,0.0,6326610,266640.0,0.0,400427,0,-170984,6822693,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
6,2011,AK,Alaska,6273844,0,209150,6482994,275338,112700,388039,6871033,1137.0,6872170,6319540,0,,6319540,377445.0,0.0,390507,0,-215323,6872170,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
7,2017,AK,Alaska,5822931,50322,180906,6054159,335453,107854,443307,6497466,786.0,6498252,6185799,0,,6185799,232275.0,0.0,336498,0,-256320,6498252,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
8,2015,AK,Alaska,5746428,54562,198296,5999286,164763,120889,285652,6284937,0.0,6284937,6159204,0,,6159204,256321.0,0.0,307181,0,-437768,6284937,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
9,2018,AK,Alaska,5575087,56327,177819,5809233,328028,110098,438126,6247359,630.0,6247989,5972467,0,,5972467,236992.0,0.0,308046,0,-269516,6247989,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
10,2014,AK,Alaska,5509991,52313,191062,5753366,171906,117558,289464,6042830,0.0,6042830,6164812,0,,6164812,253513.0,0.0,321001,0,-696497,6042830,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
11,2020,AK,Alaska,5596841,53831,188212,5838884,319885,117672,437557,6276441,0.0,6276441,5917577,0,,5917577,265880.0,0.0,329575,0,-236591,6276441,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
12,2016,AK,Alaska,5649381,60468,191982,5901831,321729,111473,433202,6335034,215.0,6335249,6123202,0,,6123202,251325.0,,319577,0,-358855,6335249,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
13,2013,AK,Alaska,5851727,46384,187843,6085954,300144,110723,410868,6496822,680.0,6497502,6268212,0,,6268212,260693.0,0.0,336726,0,-368129,6497502,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
14,1991,AK,Alaska,4286431,0,0,4286431,204537,898860,1103397,5389828,663.0,5390491,4255713,0,0.0,4255713,1102388.0,0.0,326774,0,5058359,5390491,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
15,1995,AK,Alaska,4846922,0,0,4846922,229840,949354,1179194,6026116,1102.0,6027218,4631830,0,0.0,4631830,1163688.0,0.0,353526,0,5667897,6027218,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
16,1990,AK,Alaska,4493024,0,0,4493024,265533,840950,1106482,5599506,909.0,5600415,4253840,0,0.0,4253840,1106473.0,0.0,322955,0,5272100,5600415,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
17,1993,AK,Alaska,4581047,0,0,4581047,211513,928717,1140231,5721278,1322.0,5722600,4374627,0,0.0,4374627,1124748.0,0.0,350118,0,5366983,5722600,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
18,1994,AK,Alaska,4762116,0,0,4762116,219421,984978,1204399,5966515,1309.0,5967824,4533379,0,0.0,4533379,1186222.0,0.0,344384,0,5617721,5967824,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
19,2000,AK,Alaska,4937687,0,223962,5161649,146670,848205,994875,6156525,1247.0,6157772,5309970,0,0.0,5309970,1069864.0,0.0,413027,0,5738365,6157772,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
20,1992,AK,Alaska,4167054,0,0,4167054,216258,915112,1131370,5298424,530.0,5298954,4338934,0,0.0,4338934,1130361.0,0.0,343009,0,4950476,5298954,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
21,2012,AK,Alaska,6361802,18124,201405,6581331,277858,87230,365088,6946419,1272.0,6947691,6416411,0,,6416411,354337.0,,347474,0,-170531,6947691,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
22,2003,AK,Alaska,5673462,0,162478,5835940,229859,272934,502793,6338732,1159.0,6339891,5563682,0,0.0,5563682,1077994.0,0.0,408531,0,366601,6339891,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
23,1996,AK,Alaska,4982268,0,0,4982268,208927,937696,1146624,6128892,1185.0,6130077,4779562,0,0.0,4779562,1145441.0,0.0,370998,0,5753154,6130077,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
24,2002,AK,Alaska,5471990,0,243668,5715658,156311,895356,1051667,6767325,940.0,6768265,5465489,0,0.0,5465489,1064477.0,0.0,409964,0,891747,6768265,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
25,1997,AK,Alaska,5108003,0,0,5108003,225346,821497,1046843,6154846,1629.0,6156475,4840529,0,0.0,4840529,1045859.0,0.0,364961,0,5785627,6156475,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
26,2001,AK,Alaska,5416191,0,237307,5653498,153358,936914,1090272,6743770,1238.0,6745008,5454080,0,0.0,5454080,1041829.0,0.0,426528,0,863358,6745008,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
27,2004,AK,Alaska,5866420,0,182145,6048565,269105,209047,478152,6526717,1180.0,6527897,5788484,0,0.0,5788484,1079118.0,0.0,424157,0,314177,6527897,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
28,1998,AK,Alaska,4590270,0,211373,4801643,150828,876375,1027202,5828845,992.0,5829837,5094584,0,0.0,5094584,1104129.0,0.0,362264,0,5461375,5829837,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
29,1999,AK,Alaska,4609315,0,226975,4836290,152551,813467,966017,5802307,1412.0,5803719,5292615,0,0.0,5292615,1050726.0,0.0,415217,0,5382159,5803719,1.0,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
30,2008,AL,Alabama,128054895,10683147,2569428,141307470,0,4562425,4562425,145869895,0.0,145869895,89281681,0,425598.0,89707279,4726425.0,0.0,5714398,44550279,1171515,145869895,1.44,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
31,1999,AL,Alabama,113908581,48901,746941,114704423,0,5953085,5953085,120657508,0.0,120657508,80401079,0,0.0,80401079,6668570.0,0.0,6307636,30252413,84010390,120657508,1.33,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
32,2010,AL,Alabama,122766490,20923024,4243149,147932663,0,4217849,4217849,152150512,0.0,152150512,90862645,0,0.0,90862645,5007573.0,0.0,5613291,49869705,797298,152150512,1.49,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
33,2009,AL,Alabama,118781555,15302426,4605863,138689844,0,4565712,4565712,143255556,0.0,143255556,82427315,0,417287.0,82844602,4827750.0,0.0,5273674,49562730,746799,143255556,1.53,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
34,2005,AL,Alabama,126303893,4821000,2173642,133298535,0,4650046,4650046,137948581,0.0,137948581,89201620,0,0.0,89201620,3540326.0,0.0,5961856,38526487,4255078,137948581,1.39,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
35,2007,AL,Alabama,124273167,9201656,5705071,139179894,0,4646377,4646377,143826271,0.0,143826271,91828464,0,0.0,91828464,4620025.0,0.0,5812051,40102203,1463528,143826271,1.39,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
36,2011,AL,Alabama,118834736,29424158,3773959,152032853,0,4306357,4306357,156339210,0.0,156339210,88536501,0,458868.0,88995369,5157007.0,0.0,5499347,56123696,563791,156339210,1.56,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
37,2017,AL,Alabama,101709381,29571872,4245625,135526878,0,4437372,4437372,139964250,0.0,139964250,86240854,0,876.0,86241730,4928261.0,0.0,4691415,43529093,573752,139964250,1.45,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
38,2015,AL,Alabama,107868476,35059831,5332204,148260511,0,4216916,4216916,152477427,0.0,152477427,88845543,0,,88845543,4551804.0,0.0,4431033,53289662,1359384,152477427,1.54,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
39,2018,AL,Alabama,102665414,32906202,4864301,140435917,0,4622077,4622077,145057994,,145057994,90262480,0,17976.0,90280456,5037015.0,,4656454,44588032,496037,145057994,1.44,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
40,2014,AL,Alabama,112340555,29036222,4125833,145502610,0,3837837,3837837,149340447,0.0,149340447,90493727,0,,90493727,5000379.0,0.0,4712003,47963269,1171069,149340447,1.47,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
41,2020,AL,Alabama,102352555,27553362,2848326,132754243,0,4788458,4788458,137542702,0.0,137542702,83378325,0,17280.0,83395605,5110676.0,0.0,4644657,44578650,-186886,137542702,1.48,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
42,2016,AL,Alabama,97991203,35632171,4506703,138130077,0,4255021,4255021,142385098,,142385098,88225141,0,,88225141,4586964.0,,4604565,44041572,926856,142385098,1.45,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
43,2013,AL,Alabama,115027021,27383743,4014623,146425387,0,4147537,4147537,150572924,0.0,150572924,87852107,0,0.0,87852107,4608062.0,0.0,4719383,52068099,1325273,150572924,1.53,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
44,1991,AL,Alabama,85050801,25233,786954,85862988,0,2923624,2923624,88786611,0.0,88786611,61227325,0,0.0,61227325,3667285.0,0.0,4701328,20206571,63813818,88786611,1.29,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
45,1995,AL,Alabama,99589284,7278,647195,100243757,0,4945610,4945610,105189368,0.0,105189368,70006764,0,0.0,70006764,5553211.0,0.0,5343282,26383323,73387203,105189368,1.33,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
46,1990,AL,Alabama,76231696,27936,665814,76925446,0,2726687,2726687,79652133,0.0,79652133,59925613,0,0.0,59925613,3379559.0,0.0,4549600,12515999,62523229,79652133,1.19,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
47,1993,AL,Alabama,94123557,10989,787844,94922390,0,4414607,4414607,99336997,0.0,99336997,65057675,0,0.0,65057675,5174420.0,0.0,5206804,26034116,68025845,99336997,1.36,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
48,1994,AL,Alabama,95171057,15314,692589,95878960,0,4885299,4885299,100764259,0.0,100764259,67580676,0,0.0,67580676,5524010.0,0.0,5133856,24963948,70593349,100764259,1.33,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
49,2000,AL,Alabama,118037076,42291,549830,118629197,0,5776146,5776146,124405343,0.0,124405343,83524220,0,0.0,83524220,6277371.0,0.0,6496787,30759648,87059106,124405343,1.33,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
50,1992,AL,Alabama,90792233,25233,778496,91595962,0,3638459,3638459,95234421,0.0,95234421,62166661,0,0.0,62166661,4379722.0,0.0,4914509,25273664,64979701,95234421,1.36,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
51,2012,AL,Alabama,108425247,35812766,4393369,148631382,0,4247306,4247306,152878688,0.0,152878688,86182548,0,0.0,86182548,5286916.0,,4667126,55268345,1473752,152878688,1.57,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
52,2003,AL,Alabama,126845720,4064709,1310750,132221179,0,5266043,5266043,137487222,0.0,137487222,83844220,0,0.0,83844220,6481099.0,0.0,6156524,44129506,3350491,137487222,1.47,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
53,1996,AL,Alabama,115093211,5847,670529,115769588,0,5703321,5703321,121472909,0.0,121472909,73104419,0,0.0,73104419,6339694.0,0.0,5674489,39351180,76367796,121472909,1.48,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
54,2002,AL,Alabama,123739223,2357413,1458857,127555493,0,5365177,5365177,132920670,0.0,132920670,83067078,0,0.0,83067078,6399833.0,0.0,6230830,40454195,3162167,132920670,1.44,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
55,1997,AL,Alabama,113683627,4852,683325,114371803,0,5170528,5170528,119542331,0.0,119542331,74553869,0,0.0,74553869,5827652.0,0.0,5621134,35978305,77862510,119542331,1.43,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
56,2001,AL,Alabama,118744284,44733,698013,119487030,0,5858092,5858092,125345122,0.0,125345122,79358258,0,0.0,79358258,6263673.0,0.0,6206090,37513134,2261376,125345122,1.43,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
57,2004,AL,Alabama,124554606,6127041,1445678,132127325,0,5227446,5227446,137354771,0.0,137354771,86870519,0,0.0,86870519,6487857.0,0.0,6365524,39822338,4289902,137354771,1.41,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
58,1998,AL,Alabama,113393840,4410,842095,114240345,0,5621779,5621779,119862125,0.0,119862125,79173033,0,0.0,79173033,6441674.0,0.0,5629812,31423683,82723015,119862125,1.36,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
59,2006,AL,Alabama,124365180,7103396,4683179,136151755,0,4743686,4743686,140895441,0.0,140895441,90677695,0,0.0,90677695,6209972.0,0.0,5879439,39995621,4336476,140895441,1.4,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
60,2008,AR,Arkansas,45880232,5939844,1285899,53105975,3163,1941389,1944553,55050528,0.0,55050528,46115285,0,19396.0,46134681,1987076.0,0.0,2938802,3387482,602487,55050528,1.07,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
61,1999,AR,Arkansas,44130705,1323,0,44132028,12477,2409434,2421911,46553939,0.0,46553939,39788746,0,0.0,39788746,2384181.0,0.0,3121512,1815335,41574919,46553939,1.04,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
62,2010,AR,Arkansas,47108063,10731835,1220329,59060227,5603,1934355,1939958,61000185,0.0,61000185,48180270,0,14015.0,48194285,1938621.0,0.0,2977335,7467050,422893,61000185,1.14,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,megawatthours,ratio
